"filename", "language", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "C#", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\20260507093007_InitialElectron.Designer.cs", "C#", 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 2, 78, 358
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\20260507093007_InitialElectron.cs", "C#", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 3, 27, 268
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\20260512090038_UpdateBarcodeType.Designer.cs", "C#", 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 2, 78, 359
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\20260512090038_UpdateBarcodeType.cs", "C#", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 3, 10, 77
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\20260512101610_ChangingSeedingData.Designer.cs", "C#", 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 2, 77, 347
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\20260512101610_ChangingSeedingData.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 6, 40
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Migrations\AppDbContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 1, 77, 344
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Program.cs", "C#", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 13, 59
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\Properties\launchSettings.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\appsettings.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\backend.csproj", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\appsettings.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\backend.deps.json", "JSON", 888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 888
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\backend.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\backend.staticwebassets.endpoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\build-verify\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\build-verify\appsettings.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\build-verify\backend.deps.json", "JSON", 888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 888
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\build-verify\backend.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify-signature\build-verify\backend.staticwebassets.endpoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify\appsettings.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify\backend.deps.json", "JSON", 888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 888
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify\backend.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\build-verify\backend.staticwebassets.endpoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
